# C_CrxOy	e_real	e_imag	R	alpha	1/alpha
#				nm-1	nm
0.341	7.2440541263231	8.8669515708322	0.34126	0.0177612	56.3025020831926
0.342	7.2362546527776	8.8412302764591	0.340764	0.0177251	56.4171711302052
0.343	7.2284310092032	8.8156189477668	0.340268	0.0176893	56.531349459843
0.344	7.2205836644706	8.7901170567072	0.339773	0.0176535	56.6459908799955
0.345	7.2127130818851	8.7647240771755	0.339279	0.0176179	56.760453856589
0.346	7.2048197192473	8.7394394850207	0.338786	0.0175824	56.8750568750569
0.347	7.1969040289133	8.7142627580556	0.338294	0.0175471	56.989474044144
0.348	7.1889664578535	8.6891933760665	0.337802	0.0175119	57.1040264049018
0.349	7.1810074477116	8.6642308208222	0.337312	0.0174769	57.2183854116005
0.35	7.1730274348626	8.6393745760822	0.336822	0.017442	57.332874670336
0.351	7.1650268504706	8.6146241276056	0.336334	0.0174073	57.4471629718566
0.352	7.1570061205455	8.5899789631585	0.335846	0.0173726	57.5619078318732
0.353	7.1489656659995	8.5654385725213	0.335359	0.0173382	57.6761140141422
0.354	7.1409059027031	8.5410024474957	0.334873	0.0173038	57.7907742807938
0.355	7.1328272415399	8.5166700819113	0.334387	0.0172696	57.9052207347014
0.356	7.1247300884621	8.4924409716315	0.333903	0.0172355	58.0197847465986
0.357	7.1166148445439	8.4683146145595	0.333419	0.0172016	58.1341270579481
0.358	7.1084819060354	8.4442905106435	0.332936	0.0171678	58.2485816470369
0.359	7.100331664416	8.4203681618818	0.332454	0.0171341	58.3631471743482
